project_name,street_name,postal_district,planning_area,lat,lon,match_status,match_score,query_used,onemap_building,onemap_road,onemap_address,onemap_postal,review_note
HARBOURLIGHTS,TELOK BLANGAH ROAD,04,BUKIT MERAH,1.266185899945553,103.8227446614266,matched,105,HARBOURLIGHTS TELOK BLANGAH ROAD,HARBOURLIGHTS,TELOK BLANGAH ROAD,66 TELOK BLANGAH ROAD HARBOURLIGHTS SINGAPORE 098830,098830,"project,street"
MARINA COLLECTION,COVE DRIVE,04,BUKIT MERAH,1.242974246360536,103.8391646412517,matched,105,MARINA COLLECTION COVE DRIVE,MARINA COLLECTION,COVE DRIVE,13 COVE DRIVE MARINA COLLECTION SINGAPORE 098327,098327,"project,street"
MOUNT FABER LODGE,MOUNT FABER ROAD,04,BUKIT MERAH,1.268900320122818,103.8246355392688,matched,105,MOUNT FABER LODGE MOUNT FABER ROAD,MOUNT FABER LODGE,MOUNT FABER ROAD,27 MOUNT FABER ROAD MOUNT FABER LODGE SINGAPORE 099200,099200,"project,street"
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,BUKIT MERAH,1.267249548448922,103.8109952878923,matched,105,REFLECTIONS AT KEPPEL BAY KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,31 KEPPEL BAY VIEW REFLECTIONS AT KEPPEL BAY SINGAPORE 098418,098418,"project,street"
SEASCAPE,COVE WAY,04,BUKIT MERAH,1.239948546908791,103.8382528117958,matched,105,SEASCAPE COVE WAY,SEASCAPE,COVE WAY,59 COVE WAY SEASCAPE SINGAPORE 098309,098309,"project,street"
SEVEN PALMS SENTOSA COVE,COVE DRIVE,04,BUKIT MERAH,1.240058485469285,103.8309363222582,matched,105,SEVEN PALMS SENTOSA COVE COVE DRIVE,SEVEN PALMS SENTOSA COVE,COVE DRIVE,153 COVE DRIVE SEVEN PALMS SENTOSA COVE SINGAPORE 098182,098182,"project,street"
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,BUKIT MERAH,1.272497621504916,103.8074253701429,matched,105,SKYLINE RESIDENCES TELOK BLANGAH ROAD,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,612 TELOK BLANGAH ROAD SKYLINE RESIDENCES SINGAPORE 109026,109026,"project,street"
TERESA VILLE,LOWER DELTA ROAD,04,BUKIT MERAH,1.276521347318216,103.8245500143104,matched,105,TERESA VILLE LOWER DELTA ROAD,TERESA VILLE,LOWER DELTA ROAD,1005 LOWER DELTA ROAD TERESA VILLE SINGAPORE 099309,099309,"project,street"
THE AZURE,OCEAN DRIVE,04,BUKIT MERAH,1.251503820348993,103.8480250526626,matched,105,THE AZURE OCEAN DRIVE,THE AZURE,OCEAN DRIVE,201 OCEAN DRIVE THE AZURE SINGAPORE 098584,098584,"project,street"
THE BERTH BY THE COVE,OCEAN DRIVE,04,BUKIT MERAH,1.249359672843684,103.8459986825141,matched,105,THE BERTH BY THE COVE OCEAN DRIVE,THE BERTH BY THE COVE,OCEAN DRIVE,212 OCEAN DRIVE THE BERTH BY THE COVE SINGAPORE 098624,098624,"project,street"
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,BUKIT MERAH,1.245288836349317,103.8435456565265,matched,105,THE COAST AT SENTOSA COVE OCEAN DRIVE,THE COAST AT SENTOSA COVE,OCEAN DRIVE,278 OCEAN DRIVE THE COAST AT SENTOSA COVE SINGAPORE 098450,098450,"project,street"
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,BUKIT MERAH,1.27056376702525,103.8136282832796,matched,105,THE FORESTA @ MOUNT FABER WISHART ROAD,THE FORESTA @ MOUNT FABER,WISHART ROAD,102 WISHART ROAD THE FORESTA @ MOUNT FABER SINGAPORE 098749,098749,"project,street"
THE INTERLACE,DEPOT ROAD,04,BUKIT MERAH,1.282201354220074,103.8030237560963,matched,105,THE INTERLACE DEPOT ROAD,THE INTERLACE,DEPOT ROAD,180 DEPOT ROAD THE INTERLACE SINGAPORE 109684,109684,"project,street"
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,BUKIT MERAH,1.244403000680469,103.8425184568726,matched,105,THE OCEANFRONT @ SENTOSA COVE OCEAN DRIVE,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,297 OCEAN DRIVE THE OCEANFRONT @ SENTOSA COVE SINGAPORE 098535,098535,"project,street"
THE PEARL @ MOUNT FABER,MOUNT FABER ROAD,04,BUKIT MERAH,1.270377712339004,103.8246080530204,needs_review,85,THE PEARL @ MOUNT FABER MOUNT FABER ROAD,THE PEARL @ MT FABER,MOUNT FABER ROAD,9 MOUNT FABER ROAD THE PEARL @ MT FABER SINGAPORE 099208,099208,"partial_project,street"
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,04,BUKIT MERAH,1.265412438186549,103.8179834451697,low_confidence,35,HARBOURFRONT AVENUE,NIL,HARBOURFRONT AVENUE,HARBOURFRONT AVENUE,NIL,street
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,BUKIT MERAH,1.24777842597788,103.8426064346003,matched,105,THE RESIDENCES AT W SINGAPORE SENTOSA COVE OCEAN WAY,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,5 OCEAN WAY THE RESIDENCES AT W SINGAPORE SENTOSA COVE SINGAPORE 098369,098369,"project,street"
TURQUOISE,COVE DRIVE,04,BUKIT MERAH,1.242963995811137,103.8371062135879,matched,105,TURQUOISE COVE DRIVE,TURQUOISE,COVE DRIVE,51 COVE DRIVE TURQUOISE SINGAPORE 098393,098393,"project,street"
24 ONE RESIDENCES,PASIR PANJANG ROAD,05,CLEMENTI,1.280181197806997,103.7848247373462,matched,105,24 ONE RESIDENCES PASIR PANJANG ROAD,24 ONE RESIDENCES,PASIR PANJANG ROAD,241 PASIR PANJANG ROAD 24 ONE RESIDENCES SINGAPORE 118596,118596,"project,street"
BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,05,CLEMENTI,1.27815684787103,103.787664957924,matched,105,BANYAN CONDOMINIUM CHWEE CHIAN ROAD,BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,3 CHWEE CHIAN ROAD BANYAN CONDOMINIUM SINGAPORE 119745,119745,"project,street"
BAYVILLE CONDOMINIUM,SOUTH BUONA VISTA ROAD,05,CLEMENTI,1.281158607815575,103.7877599736331,matched,105,BAYVILLE CONDOMINIUM SOUTH BUONA VISTA ROAD,BAYVILLE CONDOMINIUM,SOUTH BUONA VISTA ROAD,42 SOUTH BUONA VISTA ROAD BAYVILLE CONDOMINIUM SINGAPORE 118166,118166,"project,street"
BIJOU,JALAN MAT JAMBOL,05,CLEMENTI,1.276853863793598,103.7917421717843,matched,105,BIJOU JALAN MAT JAMBOL,BIJOU,JALAN MAT JAMBOL,2 JALAN MAT JAMBOL BIJOU SINGAPORE 119554,119554,"project,street"
BLOOMSBURY RESIDENCES,MEDIA CIRCLE,05,CLEMENTI,1.294442359840532,103.7951287463192,matched,105,BLOOMSBURY RESIDENCES MEDIA CIRCLE,BLOOMSBURY RESIDENCES (U/C),MEDIA CIRCLE,63 MEDIA CIRCLE BLOOMSBURY RESIDENCES (U/C) SINGAPORE 139816,139816,"project,street"
BLOSSOMS BY THE PARK,SLIM BARRACKS RISE,05,CLEMENTI,1.304394078164087,103.7892982430554,matched,105,BLOSSOMS BY THE PARK SLIM BARRACKS RISE,BLOSSOMS BY THE PARK (U/C),SLIM BARRACKS RISE,9 SLIM BARRACKS RISE BLOSSOMS BY THE PARK (U/C) SINGAPORE 139742,139742,"project,street"
BLUE HORIZON,WEST COAST CRESCENT,05,CLEMENTI,1.296951000139866,103.7654361402117,matched,105,BLUE HORIZON WEST COAST CRESCENT,BLUE HORIZON,WEST COAST CRESCENT,21 WEST COAST CRESCENT BLUE HORIZON SINGAPORE 128045,128045,"project,street"
BOTANNIA,WEST COAST PARK,05,CLEMENTI,1.318071300857288,103.75447286394,matched,105,BOTANNIA WEST COAST PARK,BOTANNIA,WEST COAST PARK,27 WEST COAST PARK BOTANNIA SINGAPORE 127720,127720,"project,street"
BUONA LODGE,ZEHNDER ROAD,05,CLEMENTI,1.281686596072723,103.7867231379857,matched,105,BUONA LODGE ZEHNDER ROAD,BUONA LODGE,ZEHNDER ROAD,1 ZEHNDER ROAD BUONA LODGE SINGAPORE 117686,117686,"project,street"
BUONA VISTA GARDENS,ZEHNDER ROAD,05,CLEMENTI,1.28251708251467,103.7869104253765,matched,105,BUONA VISTA GARDENS ZEHNDER ROAD,BUONA VISTA GARDENS,ZEHNDER ROAD,2 ZEHNDER ROAD BUONA VISTA GARDENS SINGAPORE 117687,117687,"project,street"
CARABELLE,WEST COAST WAY,05,CLEMENTI,1.317499301277578,103.7564369802077,matched,105,CARABELLE WEST COAST WAY,CARABELLE,WEST COAST WAY,67 WEST COAST WAY CARABELLE SINGAPORE 127023,127023,"project,street"
CLAVON,CLEMENTI AVENUE 1,05,CLEMENTI,1.308512377018681,103.7670859754563,matched,105,CLAVON CLEMENTI AVENUE 1,CLAVON,CLEMENTI AVENUE 1,8 CLEMENTI AVENUE 1 CLAVON SINGAPORE 129964,129964,"project,street"
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,CLEMENTI,1.295624184084991,103.7674338304846,matched,105,CLEMENTIWOODS CONDOMINIUM WEST COAST ROAD,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,78 WEST COAST ROAD CLEMENTIWOODS CONDOMINIUM SINGAPORE 126815,126815,"project,street"
CRYSTAL HEIGHTS,PASIR PANJANG HILL,05,CLEMENTI,1.281560041521743,103.7857095954207,matched,105,CRYSTAL HEIGHTS PASIR PANJANG HILL,CRYSTAL HEIGHTS,PASIR PANJANG HILL,75 PASIR PANJANG HILL CRYSTAL HEIGHTS SINGAPORE 118885,118885,"project,street"
DOVER PARKVIEW,DOVER RISE,05,CLEMENTI,1.305349894134202,103.7843186606042,matched,105,DOVER PARKVIEW DOVER RISE,DOVER PARKVIEW,DOVER RISE,38 DOVER RISE DOVER PARKVIEW SINGAPORE 138684,138684,"project,street"
ELTA,CLEMENTI AVENUE 1,05,CLEMENTI,1.307556398357548,103.7676132290254,matched,105,ELTA CLEMENTI AVENUE 1,ELTA (U/C),CLEMENTI AVENUE 1,10 CLEMENTI AVENUE 1 ELTA (U/C) SINGAPORE 129633,129633,"project,street"
FABER CREST,FABER HEIGHTS,05,CLEMENTI,1.322887801044261,103.757823353649,matched,105,FABER CREST FABER HEIGHTS,FABER CREST,FABER HEIGHTS,50L FABER HEIGHTS FABER CREST SINGAPORE 129205,129205,"project,street"
FABER HILLS,FABER DRIVE,05,CLEMENTI,1.319131350652827,103.7588236504382,matched,105,FABER HILLS FABER DRIVE,FABER HILLS,FABER DRIVE,39 FABER DRIVE FABER HILLS SINGAPORE 129369,129369,"project,street"
FABER RESIDENCE,FABER WALK,05,CLEMENTI,1.322512854761788,103.7531710617549,matched,105,FABER RESIDENCE FABER WALK,FABER RESIDENCE (U/C),FABER WALK,70 FABER WALK FABER RESIDENCE (U/C) SINGAPORE 129627,129627,"project,street"
FLYNN PARK,YEW SIANG ROAD,05,CLEMENTI,1.277124694638226,103.7925510013412,low_confidence,35,YEW SIANG ROAD,NIL,YEW SIANG ROAD,YEW SIANG ROAD,NIL,street
FRAGRANCE COURT,YEW SIANG ROAD,05,CLEMENTI,1.277285588243213,103.7931221566604,matched,105,FRAGRANCE COURT YEW SIANG ROAD,FRAGRANCE COURT,YEW SIANG ROAD,12 YEW SIANG ROAD FRAGRANCE COURT SINGAPORE 117752,117752,"project,street"
GLORIA MANSION,PASIR PANJANG ROAD,05,CLEMENTI,1.281187633925685,103.7844141618088,low_confidence,35,PASIR PANJANG ROAD,NIL,PASIR PANJANG ROAD,PASIR PANJANG ROAD,NIL,street
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,05,CLEMENTI,1.290546920586578,103.7746060376825,matched,105,GOLD COAST CONDOMINIUM PASIR PANJANG ROAD,GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,360 PASIR PANJANG ROAD GOLD COAST CONDOMINIUM SINGAPORE 118699,118699,"project,street"
HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,05,CLEMENTI,1.27892037252001,103.7853518545983,matched,105,HARBOUR VIEW GARDENS PASIR PANJANG ROAD,HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,221 PASIR PANJANG ROAD HARBOUR VIEW GARDENS SINGAPORE 118582,118582,"project,street"
HERITAGE VIEW,DOVER RISE,05,CLEMENTI,1.304416722358963,103.7842786267347,matched,105,HERITAGE VIEW DOVER RISE,HERITAGE VIEW,DOVER RISE,10 DOVER RISE HERITAGE VIEW SINGAPORE 138680,138680,"project,street"
HORIZON RESIDENCES,PASIR PANJANG HILL,05,CLEMENTI,1.282179141616264,103.7840827189296,matched,105,HORIZON RESIDENCES PASIR PANJANG HILL,HORIZON RESIDENCES,PASIR PANJANG HILL,41 PASIR PANJANG HILL HORIZON RESIDENCES SINGAPORE 118862,118862,"project,street"
HUDSON PLACE RESIDENCES,MEDIA CIRCLE,05,CLEMENTI,1.293005956022095,103.7952158617824,matched,105,HUDSON PLACE RESIDENCES MEDIA CIRCLE,HUDSON PLACE RESIDENCES (U/C),MEDIA CIRCLE,18 MEDIA CIRCLE HUDSON PLACE RESIDENCES (U/C) SINGAPORE 139818,139818,"project,street"
HUNDRED TREES,WEST COAST DRIVE,05,CLEMENTI,1.314099304006818,103.7594480670345,matched,105,HUNDRED TREES WEST COAST DRIVE,HUNDRED TREES,WEST COAST DRIVE,93 WEST COAST DRIVE HUNDRED TREES SINGAPORE 128018,128018,"project,street"
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,05,CLEMENTI,1.279486700701858,103.7857561866505,matched,105,ICON @ PASIR PANJANG PASIR PANJANG ROAD,ICON @ PASIR PANJANG,PASIR PANJANG ROAD,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,118579,"project,street"
ISLAND VIEW,JALAN MAT JAMBOL,05,CLEMENTI,1.279677206699133,103.7920994237585,matched,105,ISLAND VIEW JALAN MAT JAMBOL,ISLAND VIEW,JALAN MAT JAMBOL,38A JALAN MAT JAMBOL ISLAND VIEW SINGAPORE 119519,119519,"project,street"
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,CLEMENTI,1.280945771832335,103.7898660977203,matched,105,KENT RIDGE HILL RESIDENCES SOUTH BUONA VISTA ROAD,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,50 SOUTH BUONA VISTA ROAD KENT RIDGE HILL RESIDENCES SINGAPORE 118167,118167,"project,street"
KENTVIEW PARK,PASIR PANJANG HILL,05,CLEMENTI,1.281916943520221,103.785707663012,matched,105,KENTVIEW PARK PASIR PANJANG HILL,KENTVIEW PARK,PASIR PANJANG HILL,87 PASIR PANJANG HILL KENTVIEW PARK SINGAPORE 118892,118892,"project,street"
LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,05,CLEMENTI,1.279250564132547,103.7871543349762,matched,105,LANDRIDGE CONDOMINIUM PASIR PANJANG ROAD,LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,202 PASIR PANJANG ROAD LANDRIDGE CONDOMINIUM SINGAPORE 118572,118572,"project,street"
LE HILL CONDOMINIUM,PASIR PANJANG HILL,05,CLEMENTI,1.283184547696545,103.7846846940187,matched,105,LE HILL CONDOMINIUM PASIR PANJANG HILL,LE HILL CONDOMINIUM,PASIR PANJANG HILL,46 PASIR PANJANG HILL LE HILL CONDOMINIUM SINGAPORE 118896,118896,"project,street"
LIIV RESIDENCES,PASIR PANJANG ROAD,05,CLEMENTI,1.288513699152707,103.7766264364404,matched,105,LIIV RESIDENCES PASIR PANJANG ROAD,LIIV RESIDENCES,PASIR PANJANG ROAD,339 PASIR PANJANG ROAD LIIV RESIDENCES SINGAPORE 117368,117368,"project,street"
LUXE VILLE,PASIR PANJANG ROAD,05,CLEMENTI,1.289548293308927,103.7770892812889,matched,105,LUXE VILLE PASIR PANJANG ROAD,LUXE VILLE,PASIR PANJANG ROAD,336 PASIR PANJANG ROAD LUXE VILLE SINGAPORE 118668,118668,"project,street"
LYNDENWOODS,SCIENCE PARK DRIVE,05,CLEMENTI,1.291326824641328,103.7882608580064,matched,105,LYNDENWOODS SCIENCE PARK DRIVE,LYNDENWOODS (U/C),SCIENCE PARK DRIVE,69 SCIENCE PARK DRIVE LYNDENWOODS (U/C) SINGAPORE 119317,119317,"project,street"
MENDON SPRING,PASIR PANJANG ROAD,05,CLEMENTI,1.278668453296768,103.7877670871552,matched,105,MENDON SPRING PASIR PANJANG ROAD,MENDON SPRING,PASIR PANJANG ROAD,198 PASIR PANJANG ROAD MENDON SPRING SINGAPORE 117526,117526,"project,street"
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,CLEMENTI,1.317088544051539,103.7529555852949,matched,105,MONTEREY PARK CONDOMINIUM WEST COAST RISE,MONTEREY PARK CONDOMINIUM,WEST COAST RISE,29 WEST COAST RISE MONTEREY PARK CONDOMINIUM SINGAPORE 127472,127472,"project,street"
MURANO,PASIR PANJANG ROAD,05,CLEMENTI,1.289283447683411,103.7758096070195,matched,105,MURANO PASIR PANJANG ROAD,MURANO,PASIR PANJANG ROAD,349 PASIR PANJANG ROAD MURANO SINGAPORE 118691,118691,"project,street"
NEWEST,WEST COAST DRIVE,05,CLEMENTI,1.316413218925108,103.7574512632992,matched,105,NEWEST WEST COAST DRIVE,NEWEST,WEST COAST DRIVE,1 WEST COAST DRIVE NEWEST SINGAPORE 128020,128020,"project,street"
NORMANTON PARK,NORMANTON PARK,05,CLEMENTI,1.287365303763654,103.7921424402376,matched,105,NORMANTON PARK NORMANTON PARK,NORMANTON PARK,NORMANTON PARK,61 NORMANTON PARK NORMANTON PARK SINGAPORE 117286,117286,"project,street"
ONE-NORTH EDEN,SLIM BARRACKS RISE,05,CLEMENTI,1.303446024835805,103.7890680960957,matched,105,ONE-NORTH EDEN SLIM BARRACKS RISE,ONE-NORTH EDEN,SLIM BARRACKS RISE,10 SLIM BARRACKS RISE ONE-NORTH EDEN SINGAPORE 138493,138493,"project,street"
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,CLEMENTI,1.302204401315241,103.7899075304121,matched,105,ONE-NORTH RESIDENCES ONE-NORTH GATEWAY,ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,7 ONE-NORTH GATEWAY ONE-NORTH RESIDENCES SINGAPORE 138642,138642,"project,street"
PALISADES,PASIR PANJANG ROAD,05,CLEMENTI,1.287118753781933,103.7801294294894,matched,105,PALISADES PASIR PANJANG ROAD,PALISADES,PASIR PANJANG ROAD,294 PASIR PANJANG ROAD PALISADES SINGAPORE 118635,118635,"project,street"
PALM GREEN,PASIR PANJANG ROAD,05,CLEMENTI,1.291234199987066,103.7693303072898,matched,105,PALM GREEN PASIR PANJANG ROAD,PALM GREEN,PASIR PANJANG ROAD,481 PASIR PANJANG ROAD PALM GREEN SINGAPORE 117621,117621,"project,street"
PALM MANSIONS,PASIR PANJANG ROAD,05,CLEMENTI,1.288880482432826,103.7760961681497,matched,105,PALM MANSIONS PASIR PANJANG ROAD,PALM MANSIONS,PASIR PANJANG ROAD,345 PASIR PANJANG ROAD PALM MANSIONS SINGAPORE 118684,118684,"project,street"
PARC CLEMATIS,JALAN LEMPENG,05,CLEMENTI,1.316875994768881,103.7592885398004,matched,105,PARC CLEMATIS JALAN LEMPENG,PARC CLEMATIS,JALAN LEMPENG,8F JALAN LEMPENG PARC CLEMATIS SINGAPORE 126740,126740,"project,street"
PARC IMPERIAL,PASIR PANJANG ROAD,05,CLEMENTI,1.281594624748986,103.7831772588382,matched,105,PARC IMPERIAL PASIR PANJANG ROAD,PARC IMPERIAL,PASIR PANJANG ROAD,253C PASIR PANJANG ROAD PARC IMPERIAL SINGAPORE 117425,117425,"project,street"
PARC REGENCY,PASIR PANJANG ROAD,05,CLEMENTI,1.28813624894878,103.7781158252017,matched,105,PARC REGENCY PASIR PANJANG ROAD,PARC REGENCY,PASIR PANJANG ROAD,315 PASIR PANJANG ROAD PARC REGENCY SINGAPORE 118652,118652,"project,street"
PARC RIVIERA,WEST COAST VALE,05,CLEMENTI,1.320817692384934,103.7526673092539,matched,105,PARC RIVIERA WEST COAST VALE,PARC RIVIERA,WEST COAST VALE,101 WEST COAST VALE PARC RIVIERA SINGAPORE 126753,126753,"project,street"
PASIR PANJANG COURT,PASIR PANJANG CLOSE,05,CLEMENTI,1.292318084265787,103.7723131808232,matched,105,PASIR PANJANG COURT PASIR PANJANG CLOSE,PASIR PANJANG COURT,PASIR PANJANG CLOSE,21 PASIR PANJANG CLOSE PASIR PANJANG COURT SINGAPORE 118972,118972,"project,street"
PASIR PANJANG LODGE,PASIR PANJANG ROAD,05,CLEMENTI,1.291554380524461,103.772379877483,matched,105,PASIR PANJANG LODGE PASIR PANJANG ROAD,PASIR PANJANG LODGE,PASIR PANJANG ROAD,390 PASIR PANJANG ROAD PASIR PANJANG LODGE SINGAPORE 118722,118722,"project,street"
PASIR VIEW PARK,PASIR PANJANG ROAD,05,CLEMENTI,1.278809649695204,103.7875539324011,matched,105,PASIR VIEW PARK PASIR PANJANG ROAD,PASIR VIEW PARK,PASIR PANJANG ROAD,200 PASIR PANJANG ROAD PASIR VIEW PARK SINGAPORE 118571,118571,"project,street"
PEPYS HILL CONDOMINIUM,PEPYS ROAD,05,CLEMENTI,1.27774637356665,103.7937839263017,matched,105,PEPYS HILL CONDOMINIUM PEPYS ROAD,PEPYS HILL CONDOMINIUM,PEPYS ROAD,19 PEPYS ROAD PEPYS HILL CONDOMINIUM SINGAPORE 118450,118450,"project,street"
REGENT PARK,JALAN LEMPENG,05,CLEMENTI,1.317567923621452,103.7609501424634,matched,105,REGENT PARK JALAN LEMPENG,REGENT PARK,JALAN LEMPENG,26 JALAN LEMPENG REGENT PARK SINGAPORE 128805,128805,"project,street"
RESIDENTIAL APARTMENTS,PASIR PANJANG ROAD,05,CLEMENTI,1.281187633925685,103.7844141618088,low_confidence,35,PASIR PANJANG ROAD,NIL,PASIR PANJANG ROAD,PASIR PANJANG ROAD,NIL,street
SEAHILL,WEST COAST CRESCENT,05,CLEMENTI,1.298656689489022,103.7641135875653,matched,105,SEAHILL WEST COAST CRESCENT,SEAHILL,WEST COAST CRESCENT,119 WEST COAST CRESCENT SEAHILL SINGAPORE 126777,126777,"project,street"
SEASUITES,PASIR PANJANG ROAD,05,CLEMENTI,1.282420832701859,103.7831427320089,matched,105,SEASUITES PASIR PANJANG ROAD,SEASUITES,PASIR PANJANG ROAD,252 PASIR PANJANG ROAD SEASUITES SINGAPORE 118617,118617,"project,street"
STARPOINT,PASIR PANJANG ROAD,05,CLEMENTI,1.288457428260237,103.7773443465417,matched,105,STARPOINT PASIR PANJANG ROAD,STARPOINT,PASIR PANJANG ROAD,319 PASIR PANJANG ROAD STARPOINT SINGAPORE 118653,118653,"project,street"
TERRA HILL,YEW SIANG ROAD,05,CLEMENTI,1.277949934287118,103.7933282556299,matched,105,TERRA HILL YEW SIANG ROAD,TERRA HILL (U/C),YEW SIANG ROAD,18 YEW SIANG ROAD TERRA HILL (U/C) SINGAPORE 117755,117755,"project,street"
THE CASSANDRA,PASIR PANJANG ROAD,05,CLEMENTI,1.276868880471384,103.7931768294369,matched,105,THE CASSANDRA PASIR PANJANG ROAD,THE CASSANDRA,PASIR PANJANG ROAD,132 PASIR PANJANG ROAD THE CASSANDRA SINGAPORE 118549,118549,"project,street"
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,CLEMENTI,1.306676248115695,103.7685369229317,matched,105,THE CLEMENT CANOPY CLEMENTI AVENUE 1,THE CLEMENT CANOPY,CLEMENTI AVENUE 1,18 CLEMENTI AVENUE 1 THE CLEMENT CANOPY SINGAPORE 129961,129961,"project,street"
THE ESTIVA,PASIR PANJANG ROAD,05,CLEMENTI,1.287834910119039,103.7783432995387,matched,105,THE ESTIVA PASIR PANJANG ROAD,THE ESTIVA,PASIR PANJANG ROAD,313 PASIR PANJANG ROAD THE ESTIVA SINGAPORE 117482,117482,"project,street"
THE FOLIAGE,PASIR PANJANG ROAD,05,CLEMENTI,1.290884737772503,103.7743196087189,matched,105,THE FOLIAGE PASIR PANJANG ROAD,THE FOLIAGE,PASIR PANJANG ROAD,370 PASIR PANJANG ROAD THE FOLIAGE SINGAPORE 118707,118707,"project,street"
THE GRANDHILL,PASIR PANJANG HILL,05,CLEMENTI,1.281626321042417,103.7848694524036,matched,105,THE GRANDHILL PASIR PANJANG HILL,THE GRANDHILL,PASIR PANJANG HILL,39 PASIR PANJANG HILL THE GRANDHILL SINGAPORE 118860,118860,"project,street"
THE HILL @ONE-NORTH,SLIM BARRACKS RISE,05,CLEMENTI,1.303374338787114,103.7901618469314,matched,105,THE HILL @ONE-NORTH SLIM BARRACKS RISE,THE HILL @ONE-NORTH (U/C),SLIM BARRACKS RISE,15 SLIM BARRACKS RISE THE HILL @ONE-NORTH (U/C) SINGAPORE 139743,139743,"project,street"
THE HILLSHORE,PASIR PANJANG ROAD,05,CLEMENTI,1.28674116675747,103.7801490977476,matched,105,THE HILLSHORE PASIR PANJANG ROAD,THE HILLSHORE (U/C),PASIR PANJANG ROAD,292 PASIR PANJANG ROAD THE HILLSHORE (U/C) SINGAPORE 118633,118633,"project,street"
THE INFINITI,WEST COAST PARK,05,CLEMENTI,1.319534540037006,103.7550410653147,matched,105,THE INFINITI WEST COAST PARK,THE INFINITI,WEST COAST PARK,39A WEST COAST PARK THE INFINITI SINGAPORE 127712,127712,"project,street"
THE MAYLEA,PASIR PANJANG ROAD,05,CLEMENTI,1.280709388089575,103.7853232490715,matched,105,THE MAYLEA PASIR PANJANG ROAD,THE MAYLEA,PASIR PANJANG ROAD,242K PASIR PANJANG ROAD THE MAYLEA SINGAPORE 117489,117489,"project,street"
THE ORIENT,PASIR PANJANG ROAD,05,CLEMENTI,1.280947717603631,103.7835466038666,matched,105,THE ORIENT PASIR PANJANG ROAD,THE ORIENT,PASIR PANJANG ROAD,251 PASIR PANJANG ROAD THE ORIENT SINGAPORE 118610,118610,"project,street"
THE PARC CONDOMINIUM,WEST COAST WALK,05,CLEMENTI,1.3110237336376,103.7623451893409,matched,105,THE PARC CONDOMINIUM WEST COAST WALK,THE PARC CONDOMINIUM,WEST COAST WALK,11 WEST COAST WALK THE PARC CONDOMINIUM SINGAPORE 127161,127161,"project,street"
THE PEAK,PEPYS ROAD,05,CLEMENTI,1.279958361016674,103.7933300736506,matched,105,THE PEAK PEPYS ROAD,THE PEAK,PEPYS ROAD,33 PEPYS ROAD THE PEAK SINGAPORE 118454,118454,"project,street"
THE PEAK@BALMEG,BALMEG HILL,05,CLEMENTI,1.283455649023431,103.7835851922329,matched,105,THE PEAK@BALMEG BALMEG HILL,THE PEAK@BALMEG,BALMEG HILL,9 BALMEG HILL THE PEAK@BALMEG SINGAPORE 119915,119915,"project,street"
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,CLEMENTI,1.305210733905228,103.7883405664468,matched,105,THE ROCHESTER RESIDENCES ROCHESTER DRIVE,THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,33 ROCHESTER DRIVE THE ROCHESTER RESIDENCES SINGAPORE 138638,138638,"project,street"
THE SORRENTO,WEST COAST ROAD,05,CLEMENTI,1.295763136427461,103.7661222797011,matched,105,THE SORRENTO WEST COAST ROAD,THE SORRENTO,WEST COAST ROAD,55 WEST COAST ROAD THE SORRENTO SINGAPORE 127365,127365,"project,street"
